Y_pred,count,mean,std,min,q1,med,q3,max,model
0,64645.0,0.4318393181504044,0.03884106043342142,0.3172015135339625,0.4007673405919664,0.4327275973821418,0.4647051219790759,0.499998321186952,logreg
1,9675.0,0.6630959875116482,0.20687751835407556,0.5000002383495629,0.5090660327013454,0.5252571786093599,0.9348020438626279,0.9962503674248144,logreg
0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dt
1,74252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,dt
0,71102.0,6.741536006052699e-23,1.9132469629615795e-22,8.667995934194185e-24,2.205391556399798e-23,3.3035132387412693e-23,5.730314350624099e-23,2.3707437498819444e-20,nb
1,3218.0,0.9997225374920189,0.000507096441737716,0.989994474359589,0.9996487040139872,0.999893982627841,1.0,1.0,nb
0,71105.0,0.4562647769791155,0.002445224917677164,0.45423606,0.45423606,0.45423606,0.45921198,0.45921198,xgbt
1,3215.0,0.5856592466562985,0.004564704945157985,0.58266145,0.58266145,0.58266145,0.5926077,0.5926077,xgbt
0,49187.0,0.49948990849626346,0.00029591904891016743,0.4982160770325195,0.49926300244312627,0.4994859890279092,0.4997437056971105,0.4999999605092729,ada
1,25133.0,0.5014002591002221,0.002816654161642426,0.5000000182449373,0.5001468057236049,0.5003444027842294,0.5007152687150711,0.5153526193880892,ada
0,71086.0,0.24293523851051632,0.03343069377214263,0.1595602844152962,0.2163438536335811,0.2414750477365991,0.26764275420519484,0.4030104039994684,lda
1,3234.0,0.9955299915267051,0.01961578364431938,0.733022027211687,0.9962673264335484,0.997007332746257,0.9979739086623629,0.9995948018404474,lda
0,71102.0,5.158507854128769e-20,5.730175208594134e-18,1.1941752796066508e-22,6.561251045270959e-22,1.3362315120699348e-21,6.1745376653855236e-21,1.239969561285765e-15,qda
1,3218.0,0.9997831437060011,0.001288041236659667,0.9429953466256416,0.9998094182725215,0.999945109949257,1.0,1.0,qda
0,23257.0,0.46758649611032527,0.00991070166354949,0.4622877388844191,0.4622877388844191,0.4622877388844191,0.4681096398418898,0.4999948476289167,fm
1,51063.0,0.6070307077637157,0.04691061391089736,0.5000084249484792,0.5768922062024056,0.5923917191140113,0.6357347911565898,0.8477409894143498,fm
0,60432.0,0.357135267157366,0.022024032835571562,0.3245279659728738,0.34388016516380476,0.35308900078519284,0.3643404520463305,0.4997874863274766,fm_match
1,13888.0,0.6857062200366301,0.15834835415268597,0.5001745934540368,0.5742246657264187,0.6125637673576116,0.7775771356821121,0.9987955470623692,fm_match
0,367.0,0.48657568734554607,0.012770650945154725,0.4087448045420954,0.4800423836684425,0.4903471399939355,0.4958259572446094,0.4999116721120403,fm_side_info
1,73453.0,0.6688447749957545,0.09096321638604557,0.5000621408344957,0.6001519795034187,0.6546775540625992,0.7280158987401674,0.9975506763425146,fm_side_info
0,54397.0,0.3534182518101994,0.0823902544716954,0.1630091508773797,0.2858241045433967,0.3349288721993709,0.4319747640947462,0.4999990605481629,fm_extended
1,19423.0,0.6341590458379263,0.15597335247286903,0.5000076585854734,0.5261101370138486,0.5681818445949585,0.6565266036875446,0.9984485286307654,fm_extended
0,71102.0,0.317880362077742,3.942429684302235e-13,0.317880362077742,0.317880362077742,0.317880362077742,0.317880362077742,0.317880362077742,ebm_location
1,3218.0,0.9218292599577494,0.043616785117808705,0.8249571378410226,0.893327716624457,0.893327716624457,0.9881915743983322,0.9881915743983322,ebm_location
1,74320.0,0.6137058056381711,0.026610405992246084,0.5371990118036003,0.5961031796542804,0.6108168791523635,0.6295292435038916,0.8185911408279849,ebm_side_info
0,70381.0,0.40845952942194724,0.03257948217961533,0.3138906646872388,0.3826478240705572,0.4021534072408793,0.4337139798183568,0.4997672823032561,ebm_extended
1,3939.0,0.8601672913923596,0.16864626994306584,0.5001666803323602,0.8865689219980039,0.9227192786190376,0.9531628446823757,0.9961815529953134,ebm_extended
0,71102.0,0.2924778081507653,1.6481376700497517e-13,0.2924778081507653,0.2924778081507653,0.2924778081507653,0.2924778081507653,0.2924778081507653,dpebm_location
1,3218.0,0.7427097053040445,0.07149684949268868,0.5079871278469344,0.6961893099606193,0.6961893099606193,0.8512638597660714,0.8512638597660714,dpebm_location
0,74320.0,0.49569245916038834,9.336671714073876e-05,0.4956105400766022,0.4956237164926713,0.4956818744929491,0.4956818744929491,0.4959006972324916,dpebm_side_info
0,71102.0,0.28892419918174506,0.0005761602422793702,0.2883649855723429,0.2884614805031354,0.2889959932629683,0.2892039618685237,0.2901900770060919,dpebm_extended
1,3218.0,0.7376098927280038,0.07228092147412377,0.5020916855092246,0.690062938643074,0.6908354965820166,0.8471108643709975,0.848196504180248,dpebm_extended
