City,State,Country,UserID,JobID
-0.012564810121754089,0.4064011337227547,-0.0003976681769431445,13,821691
-0.038468483765634026,-0.3134173058814343,-0.0005776278820914804,13,329572
-0.038468483765634026,-0.3134173058814343,-0.0005776278820914804,514,131166
-0.038468483765634026,-0.3134173058814343,-0.0005776278820914804,514,620304
-0.012564810121754089,0.4064011337227547,-0.0003976681769431445,681,654542
-0.012564810121754089,0.4064011337227547,-0.0003976681769431445,681,625758
-0.012564810121754089,0.4064011337227547,-0.0003976681769431445,681,15081
-0.038468483765634026,-0.3134173058814343,-0.0005776278820914804,681,291467
-0.038468483765634026,-0.3134173058814343,-0.0005776278820914804,681,1035056
-0.038468483765634026,-0.3134173058814343,-0.0005776278820914804,681,2083
-0.012564810121754089,0.4064011337227547,-0.0003976681769431445,767,85377
-0.038468483765634026,-0.3134173058814343,-0.0005776278820914804,767,385582
0.18966760000063165,0.2989787030583517,-0.00034378986105071396,883,663823
-0.038468483765634026,-0.3134173058814343,-0.0005776278820914804,883,136012
-0.012564810121754089,0.4064011337227547,-0.0003976681769431445,1006,655183
-0.038468483765634026,-0.3134173058814343,-0.0005776278820914804,1006,466034
-0.012564810121754089,0.4064011337227547,-0.0003976681769431445,1066,709999
-0.012564810121754089,0.4064011337227547,-0.0003976681769431445,1066,1096020
0.18966760000063165,0.2989787030583517,-0.00034378986105071396,1066,700868
-0.038468483765634026,-0.3134173058814343,-0.0005776278820914804,1066,726478
